Period,Date,Income,Outflows,Begin Total Savings,Amount To Save,End Total Savings,Savings Value Change,Savings Return,Begin Investment Portfolio,Investment Return,Amount To Invest,End Investment Portfolio,Portfolio Value Change,Investment Return Rate,Cumulative Returns,Drawdown,Begin Total Assets,End Total Assets,Total Assets Value Change,Total Assets Return Rate
164,07/21/2037,2340.0,1337.52,80081.75,1002.48,80238.17,156.42,0.0,349209.1,3115.72,1002.48,353327.3,4118.2,0.01,144809.82,-0.45,429290.85,433565.46,4274.62,0.01
165,08/20/2037,2340.0,1337.52,80238.17,1002.48,80394.58,156.42,0.0,353327.3,-18755.21,1002.48,335574.57,-17752.73,-0.05,126054.61,-0.52,433565.46,415969.15,-17596.31,-0.04
166,09/19/2037,2340.0,1337.52,80394.58,1002.48,80551.0,156.42,0.0,335574.57,596.56,1002.48,337173.61,1599.04,0.0,126651.16,-0.52,415969.15,417724.61,1755.46,0.0
167,10/19/2037,2340.0,1337.52,80551.0,1002.48,80707.42,156.42,0.0,337173.61,10903.07,1002.48,349079.17,11905.56,0.04,137554.24,-0.48,417724.61,429786.58,12061.98,0.03
168,11/18/2037,4590.0,1337.52,80707.42,3252.48,80863.83,156.42,0.0,349079.17,16012.15,3252.48,368343.8,19264.63,0.06,153566.39,-0.41,429786.58,449207.63,19421.05,0.05
169,12/18/2037,2340.0,1337.52,80863.83,1002.48,81020.25,156.42,0.0,368343.8,24757.93,1002.48,394104.21,25760.41,0.07,178324.31,-0.32,449207.63,475124.46,25916.83,0.06
170,01/17/2038,2340.0,1357.58,81020.25,982.42,81176.67,156.42,0.0,394104.21,-17711.92,982.42,377374.71,-16729.49,-0.04,160612.4,-0.39,475124.46,458551.38,-16573.08,-0.03
171,02/16/2038,2340.0,1357.58,81176.67,982.42,81333.08,156.42,0.0,377374.71,12998.01,982.42,391355.14,13980.43,0.04,173610.41,-0.34,458551.38,472688.23,14136.85,0.03
172,03/18/2038,2340.0,1357.58,81333.08,982.42,81489.5,156.42,0.0,391355.14,19485.84,982.42,411823.41,20468.26,0.05,193096.25,-0.26,472688.23,493312.91,20624.68,0.04
173,04/17/2038,2340.0,1357.58,81489.5,982.42,81645.92,156.42,0.0,411823.41,17317.26,982.42,430123.09,18299.68,0.04,210413.51,-0.2,493312.91,511769.01,18456.1,0.04
174,05/17/2038,2340.0,1357.58,81645.92,982.42,81802.33,156.42,0.0,430123.09,-10083.22,982.42,421022.3,-9100.8,-0.02,200330.29,-0.24,511769.01,502824.63,-8944.38,-0.02
175,06/16/2038,2340.0,1357.58,81802.33,982.42,81958.75,156.42,0.0,421022.3,9492.59,982.42,431497.31,10475.01,0.02,209822.88,-0.2,502824.63,513456.06,10631.43,0.02
176,07/16/2038,2340.0,1357.58,81958.75,982.42,82115.17,156.42,0.0,431497.31,31158.26,982.42,463637.98,32140.68,0.07,240981.14,-0.08,513456.06,545753.15,32297.09,0.06
